category,medicine_name,therapeutic_area,common_name,active_substance,product_number,patient_safety,authorisation_status,atc_code,additional_monitoring,generic,biosimilar,conditional_approval,exceptional_circumstances,accelerated_assessment,orphan_medicine,marketing_authorisation_date,date_of_refusal_of_marketing_authorisation,marketing_authorisation_holder_company_name,pharmacotherapeutic_group,date_of_opinion,decision_date,revision_number,condition_indication,species,first_published,revision_date,url
human,Vimpat,Epilepsy,lacosamide,lacosamide,863,False,authorised,N03AX18,False,False,False,False,False,False,False,8/29/08,,UCB Pharma SA,"Antiepileptics,",6/26/08,10/12/22,44.0,"Vimpat is indicated as monotherapy and adjunctive therapy in the treatment of partial-onset seizures with or without secondary generalisation in adults, adolescents and children from 4 years of age with epilepsy.",,2018-07-26T12:09:00Z,2023-03-08T18:25:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/vimpat
human,Briviact (in Italy: Nubriveo),Epilepsy,brivaracetam,brivaracetam,3898,False,authorised,N03AX23,False,False,False,False,False,False,False,1/13/16,,UCB Pharma SA,"Antiepileptics,",,2/24/22,19.0,Briviact is indicated as adjunctive therapy in the treatment of partial-onset seizures with or without secondary generalisation in adult and adolescent patients from 16 years of age with epilepsy.,,2018-07-11T12:01:00Z,2023-03-08T18:12:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/briviact-italy-nubriveo
human,Tecvayli,Multiple Myeloma,teclistamab,teclistamab,5865,False,authorised,L01F,True,False,False,True,False,False,False,8/23/22,,Janssen-Cilag International N.V.,Antineoplastic agents,7/21/22,,,"TECVAYLI is indicated as monotherapy for the treatment of adult patients with relapsed and refractory multiple myeloma, who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 antibody and have demonstrated disease progression on the last therapy.",,2022-07-18T14:04:00Z,2023-03-07T16:03:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/tecvayli
human,Tivicay,HIV Infections,dolutegravir,dolutegravir,2753,False,authorised,J05AX12,False,False,False,False,False,False,False,1/16/14,,ViiV Healthcare BV,Antivirals for systemic use,11/21/13,3/6/23,33.0,"Tivicay is indicated in combination with other anti-retroviral medicinal products for the treatment of Human Immunodeficiency Virus (HIV) infected adults, adolescents and children of at least 6 years of age or older and weighing at least 14 kg.Tivicay is indicated in combination with other anti-retroviral medicinal products for the treatment of Human Immunodeficiency Virus (HIV) infected adults, adolescents and children of at least 4 weeks of age or older and weighing at least 3 kg.",,2018-03-01T01:00:00Z,2023-03-07T12:33:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/tivicay
human,Empliciti,Multiple Myeloma,elotuzumab,elotuzumab,3967,False,authorised,L01FX08,False,False,False,False,False,True,False,5/11/16,,Bristol-Myers Squibb Pharma EEIG,Antineoplastic agents,1/28/16,3/3/23,11.0,Empliciti is indicated in combination with lenalidomide and dexamethasone for the treatment of multiple myeloma in adult patients who have received at least one prior therapy (see sections 4.2 and 5.1).,,2017-07-13T17:37:00Z,2023-03-06T13:06:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/empliciti
human,Ebymect,"Diabetes Mellitus, Type 2","dapagliflozin, metformin","dapagliflozin propanediol monohydrate, metformin hydrochloride",4162,False,authorised,A10BD15,False,False,False,False,False,False,False,11/15/15,,AstraZeneca AB,Drugs used in diabetes,9/23/15,2/6/23,18.0,"Type 2 diabetes mellitusFor the treatment of insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise.as monotherapy when metformin is considered inappropriate due to intolerance.in addition to other medicinal products for the treatment of type 2 diabetes.For study results with respect to combination of therapies, effects on glycaemic control and cardiovascular events, and the populations studied, see sections 4.4, 4.5 and 5.1.Type 1 diabetes mellitusEdistride is indicated in adults for the treatment of insufficiently controlled type 1 diabetes mellitus as an adjunct to insulin in patients with BMI ≥ 27 kg/m2, when insulin alone does not provide adequate glycaemic control despite optimal insulin therapy.",,2017-12-20T18:04:00Z,2023-03-06T12:54:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/ebymect
human,Xigduo,"Diabetes Mellitus, Type 2","dapagliflozin, metformin","metformin hydrochloride, dapagliflozin propanediol monohydrate",2672,False,authorised,A10BD15,False,False,False,False,False,False,False,1/16/14,,AstraZeneca AB,"Drugs used in diabetes, Combinations of oral blood glucose lowering drugs",11/20/13,2/3/23,19.0,"Xigduo is indicated in adults for the treatment of type 2 diabetes mellitus as an adjunct to diet and exercise:•    in patients insufficiently controlled on their maximally tolerated dose of metformin alone •    in combination with other medicinal products for the treatment of diabetes in patients insufficiently controlled with metformin and these medicinal products•    in patients already being treated with the combination of dapagliflozin and metformin as separate tablets.For study results with respect to combination of therapies, effects on glycaemic control and cardiovascular events, and the populations studied, see sections 4.4, 4.5 and 5.1.",,2017-12-20T13:09:00Z,2023-03-06T11:52:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/xigduo
human,Prezista,HIV Infections,darunavir,darunavir,707,False,authorised,J05AE10,False,False,False,False,False,False,False,2/11/07,,Janssen-Cilag International NV,Antivirals for systemic use,12/14/06,11/10/22,54.0,"PREZISTA, co administered with low dose ritonavir is indicated in combination with other antiretroviral medicinal products for the treatment of human immunodeficiency virus (HIV 1) infection in adult and paediatric patients from the age of 3 years and at least 15 kg body weight.PREZISTA, co administered with cobicistat is indicated in combination with other antiretroviral medicinal products for the treatment of human immunodeficiency virus (HIV 1) infection in adults and adolescents (aged 12 years and older, weighing at least 40 kg).In deciding to initiate treatment with PREZISTA co administered with cobicistat or low dose ritonavir, careful consideration should be given to the treatment history of the individual patient and the patterns of mutations associated with different agents. Genotypic or phenotypic testing (when available) and treatment history should guide the use of PREZISTA.PREZISTA, co administered with low dose ritonavir is indicated in combination with other antiretroviral medicinal products for the treatment of patients with human immunodeficiency virus (HIV 1) infection.PREZISTA 75 mg, 150 mg, and 600 mg tablets may be used to provide suitable dose regimens:For the treatment of HIV 1 infection in antiretroviral treatment (ART) experienced adult patients, including those that have been highly pre treated.For the treatment of HIV 1 infection in paediatric patients from the age of 3 years and at least 15 kg body weight.In deciding to initiate treatment with PREZISTA co administered with low dose ritonavir, careful consideration should be given to the treatment history of the individual patient and the patterns of mutations associated with different agents. Genotypic or phenotypic testing (when available) and treatment history should guide the use of PREZISTA.PREZISTA, co administered with low dose ritonavir is indicated in combination with other antiretroviral medicinal products for the treatment of patients with human immunodeficiency virus (HIV 1) infection.PREZISTA, co administered with cobicistat is indicated in combination with other antiretroviral medicinal products for the treatment of human immunodeficiency virus (HIV 1) infection in adults and adolescents (aged 12 years and older, weighing at least 40 kg).PREZISTA 400 mg and 800 mg tablets may be used to provide suitable dose regimens for the treatment of HIV 1 infection in adult and paediatric patients from the age of 3 years and at least 40 kg body weight who are:antiretroviral therapy (ART) naïve.ART experienced with no darunavir resistance associated mutations (DRV RAMs) and who have plasma HIV 1 RNA < 100,000 copies/ml and CD4+ cell count ≥ 100 cells x 106/L. In deciding to initiate treatment with PREZISTA in such ART experienced patients, genotypic testing should guide the use of PREZISTA.",,2018-07-06T00:00:00Z,2023-03-03T15:20:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/prezista
human,Efavirenz Teva,HIV Infections,efavirenz,efavirenz,2352,False,authorised,J05AG03,False,True,False,False,False,False,False,1/9/12,,Teva B.V.,Antivirals for systemic use,,2/27/23,12.0,"Efavirenz is indicated in antiviral combination treatment of human-immunodeficiency-virus-1 (HIV-1)-infected adults, adolescents and children 3 years of age and older.Efavirenz has not been adequately studied in patients with advanced HIV disease, namely in patients with CD4 counts < 50 cells/mm3, or after failure of protease inhibitor (PI)-containing regimens. Although cross-resistance of efavirenz with protease inhibitors (PIs) has not been documented, there are at present insufficient data on the efficacy of subsequent use of PI-based combination therapy after failure of regimens containing efavirenz.",,2016-09-09T11:59:00Z,2023-03-03T13:10:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/efavirenz-teva
human,Maviret,"Hepatitis C, Chronic","glecaprevir, pibrentasvir","glecaprevir, pibrentasvir",4430,False,authorised,J05AP57,False,False,False,False,False,True,False,7/26/17,,AbbVie Deutschland GmbH  Co. KG,Antivirals for systemic use,6/22/17,3/2/23,21.0,Maviret is indicated for the treatment of chronic hepatitis C virus (HCV) infection in adults and children aged 3 years and older.Maviret coated granules is indicated for the treatment of chronic hepatitis C virus (HCV) infection in children 3 years and older.,,2018-06-15T12:11:00Z,2023-03-02T14:00:00Z,https://www.ema.europa.eu/en/medicines/human/EPAR/maviret
